"('map', 0.999420702457428, (1108.624755859375, 183.49978637695312, 195.4925537109375, 211.80007934570312))","('ball', 0.9932792782783508, (460.62298583984375, 683.9368896484375, 115.24652099609375, 73.72978973388672))","('dice', 0.9920624494552612, (461.52886962890625, 115.4075927734375, 66.1815185546875, 112.97479248046875))","('face', 0.9595433473587036, (323.557373046875, 335.70074462890625, 83.90673828125, 107.38102722167969))","('key', 0.8550702929496765, (752.1243286132812, 123.56376647949219, 110.39990234375, 49.644248962402344))"
"('map', 0.9987543821334839, (1107.96533203125, 188.1988067626953, 191.57102966308594, 217.03460693359375))","('dice', 0.9903353452682495, (463.09326171875, 119.82846069335938, 67.2237319946289, 111.141845703125))","('ball', 0.9802005290985107, (462.49591064453125, 685.7922973632812, 117.30278015136719, 71.20014190673828))","('face', 0.9430732131004333, (323.5956115722656, 338.405029296875, 84.58547973632812, 104.72083282470703))","('key', 0.903539776802063, (751.8041381835938, 126.99197387695312, 122.00164794921875, 64.22981262207031))"
"('map', 0.9987576603889465, (1109.2392578125, 191.1123504638672, 193.49822998046875, 216.1884765625))","('dice', 0.9972533583641052, (464.84075927734375, 122.80736541748047, 64.93315124511719, 110.91144561767578))","('ball', 0.9786196947097778, (462.0527648925781, 686.3853149414062, 119.51055908203125, 70.62881469726562))","('face', 0.9583552479743958, (326.43719482421875, 343.9965515136719, 85.64524841308594, 102.44493103027344))","('key', 0.8763553500175476, (755.0494995117188, 130.34510803222656, 127.91127014160156, 63.43503189086914))"
"('map', 0.9990720748901367, (1111.0987548828125, 195.0762939453125, 198.37728881835938, 218.31002807617188))","('dice', 0.9973572492599487, (466.8951416015625, 125.02583312988281, 63.64614486694336, 112.2325439453125))","('ball', 0.9494709968566895, (463.0179138183594, 688.0802001953125, 118.81596374511719, 66.62557983398438))","('face', 0.9204668998718262, (328.21075439453125, 344.9419860839844, 85.9175033569336, 101.83399200439453))","('key', 0.7989262938499451, (756.51806640625, 133.55743408203125, 130.30677795410156, 63.77666473388672))"
"('map', 0.9988504648208618, (1113.2603759765625, 197.28524780273438, 199.88436889648438, 215.29306030273438))","('dice', 0.9974188804626465, (469.17559814453125, 128.1177978515625, 65.31473541259766, 112.01354217529297))","('face', 0.9577248096466064, (330.98223876953125, 345.1855163574219, 83.071044921875, 101.59807586669922))","('ball', 0.9157915711402893, (464.2570495605469, 688.3359985351562, 114.20319366455078, 69.73782348632812))","('key', 0.7188435792922974, (758.6549072265625, 135.11781311035156, 130.1636962890625, 62.58893966674805))","('cards', 0.42358145117759705, (756.8768310546875, 644.4161376953125, 119.56892395019531, 118.78742980957031))"
"('map', 0.9983142018318176, (1114.751708984375, 198.87600708007812, 198.61959838867188, 219.91485595703125))","('dice', 0.9976708292961121, (471.6751403808594, 129.4829559326172, 65.02833557128906, 109.01878356933594))","('ball', 0.9805006980895996, (467.55328369140625, 689.137939453125, 113.54486083984375, 68.824462890625))","('face', 0.9414096474647522, (332.2926330566406, 345.9494323730469, 83.27409362792969, 103.88685607910156))","('key', 0.9347962141036987, (761.8175048828125, 140.61407470703125, 131.48919677734375, 62.25366973876953))","('cards', 0.360710084438324, (759.154052734375, 644.88671875, 112.64385223388672, 113.36160278320312))"
"('map', 0.9988508224487305, (1116.0985107421875, 199.4684600830078, 198.8136444091797, 218.57669067382812))","('dice', 0.9943055510520935, (475.3266906738281, 130.0992431640625, 68.41584014892578, 105.89705657958984))","('ball', 0.9714488387107849, (471.3232116699219, 689.4722290039062, 116.9417724609375, 65.32097625732422))","('face', 0.9646799564361572, (337.56207275390625, 346.1517028808594, 83.6612777709961, 103.03437805175781))","('key', 0.9601002335548401, (763.9051513671875, 140.8585205078125, 133.0229034423828, 62.72661209106445))","('cards', 0.27666670083999634, (759.5709838867188, 644.7763671875, 121.42221069335938, 108.73966979980469))"
"('map', 0.999020516872406, (1116.722900390625, 199.33544921875, 197.5556640625, 214.61085510253906))","('dice', 0.9957296252250671, (477.47454833984375, 129.46810913085938, 64.77481842041016, 109.73979187011719))","('face', 0.9804691076278687, (340.15753173828125, 346.03778076171875, 83.88626098632812, 102.82078552246094))","('ball', 0.977622926235199, (472.9761047363281, 689.2618408203125, 115.74878692626953, 67.31226348876953))","('key', 0.935772180557251, (766.6048583984375, 140.625732421875, 129.98902893066406, 61.98069381713867))","('cards', 0.38437744975090027, (761.9403686523438, 645.300048828125, 114.96199798583984, 109.33863830566406))"
"('map', 0.9982479810714722, (1118.72900390625, 199.4230499267578, 196.30560302734375, 214.50608825683594))","('dice', 0.9907532930374146, (481.238037109375, 129.37596130371094, 62.78190612792969, 109.4588394165039))","('ball', 0.9884445071220398, (476.2906188964844, 689.22998046875, 121.34071350097656, 62.60422134399414))","('face', 0.9726282954216003, (342.3874206542969, 345.6742858886719, 83.071044921875, 98.14221954345703))","('key', 0.945350706577301, (769.2389526367188, 140.53402709960938, 131.9716033935547, 60.76704025268555))","('cards', 0.7339455485343933, (766.6137084960938, 648.082763671875, 108.4476089477539, 114.3204574584961))"
"('map', 0.9973459839820862, (1121.27490234375, 199.43927001953125, 198.91075134277344, 215.55604553222656))","('dice', 0.9923210740089417, (484.8373107910156, 129.72415161132812, 64.52228546142578, 108.5407485961914))","('ball', 0.9789502620697021, (479.1270446777344, 689.037841796875, 127.02434539794922, 63.064430236816406))","('key', 0.9596889019012451, (771.7489624023438, 140.5079803466797, 132.7633514404297, 62.55838394165039))","('face', 0.9522920250892639, (342.6899719238281, 345.1623840332031, 80.47591400146484, 99.25061798095703))","('cards', 0.6811890602111816, (769.759765625, 647.4116821289062, 116.36150360107422, 112.63054656982422))"
