"('map', 0.9869388341903687, (1189.58740234375, 324.2799987792969, 159.089599609375, 185.54893493652344))","('dice', 0.9859880208969116, (651.473876953125, 243.32656860351562, 63.24342346191406, 117.27461242675781))","('face', 0.8610376715660095, (498.2080383300781, 461.0655212402344, 89.74449157714844, 106.76671600341797))","('key', 0.6604527235031128, (900.8464965820312, 265.8832092285156, 89.4700698852539, 51.858699798583984))"
"('dice', 0.9926264882087708, (651.0748901367188, 242.8841552734375, 64.20800018310547, 118.64251708984375))","('map', 0.9876231551170349, (1190.0010986328125, 324.001220703125, 159.55636596679688, 188.05722045898438))","('face', 0.8049761056900024, (495.56207275390625, 459.83697509765625, 87.54792785644531, 102.80823516845703))","('key', 0.6134164929389954, (899.8841552734375, 265.45428466796875, 90.31500244140625, 53.322303771972656))"
"('dice', 0.9922839999198914, (651.0497436523438, 243.42127990722656, 63.61507797241211, 118.38211822509766))","('map', 0.9868385791778564, (1188.6976318359375, 324.6287841796875, 159.01194763183594, 185.3225555419922))","('face', 0.7737917304039001, (489.14306640625, 462.540283203125, 87.52655792236328, 103.00923156738281))","('key', 0.6428598165512085, (900.1174926757812, 266.1607360839844, 89.52469635009766, 52.623939514160156))"
"('dice', 0.9937379360198975, (650.291015625, 243.8695831298828, 62.84324645996094, 118.74394989013672))","('map', 0.9877183437347412, (1188.5689697265625, 324.472412109375, 159.79026794433594, 185.6848602294922))","('face', 0.8682731986045837, (486.45086669921875, 461.5670166015625, 91.71585083007812, 95.9638900756836))","('key', 0.6383083462715149, (899.439208984375, 266.7582092285156, 89.07775115966797, 52.05531311035156))"
"('dice', 0.992742657661438, (649.9999389648438, 244.14276123046875, 63.398014068603516, 116.77462768554688))","('map', 0.9880009293556213, (1188.89453125, 324.66741943359375, 157.81301879882812, 186.1842041015625))","('face', 0.8214799165725708, (483.6122131347656, 462.09014892578125, 90.51464080810547, 98.13623046875))","('key', 0.5300122499465942, (899.054443359375, 267.3075866699219, 90.7127685546875, 52.99137496948242))"
"('dice', 0.9922089576721191, (648.9974975585938, 244.5206298828125, 62.14143371582031, 117.27461242675781))","('map', 0.9864255785942078, (1188.1356201171875, 324.8205261230469, 157.81301879882812, 188.14906311035156))","('face', 0.8304922580718994, (480.15557861328125, 462.54595947265625, 92.28861999511719, 95.41053009033203))","('key', 0.5449485182762146, (899.2130126953125, 267.3106384277344, 91.50238800048828, 52.290958404541016))"
"('map', 0.987714409828186, (1188.07568359375, 325.524169921875, 159.01194763183594, 185.05128479003906))","('dice', 0.9853711724281311, (649.0551147460938, 244.25534057617188, 64.08271789550781, 115.72453308105469))","('face', 0.8572227358818054, (476.5271301269531, 462.3355407714844, 92.75166320800781, 98.13323974609375))","('key', 0.4670478403568268, (898.5134887695312, 267.29840087890625, 91.10115814208984, 53.08201217651367))"
"('map', 0.9866270422935486, (1188.41748046875, 325.3418884277344, 158.8567352294922, 186.41162109375))","('dice', 0.9864635467529297, (649.0191040039062, 244.06112670898438, 64.3021240234375, 115.13272857666016))","('face', 0.8913673162460327, (472.74920654296875, 462.26092529296875, 88.35313415527344, 104.41448211669922))","('key', 0.5580856204032898, (898.3604736328125, 266.3177490234375, 90.31500244140625, 52.77833557128906))"
"('map', 0.9839191436767578, (1188.355224609375, 325.4188232421875, 159.43955993652344, 185.63954162597656))","('dice', 0.9831618666648865, (649.1419677734375, 243.92005920410156, 63.77057647705078, 115.16083526611328))","('face', 0.8572272062301636, (470.9136657714844, 461.4405822753906, 89.4491958618164, 101.41839599609375))","('key', 0.514607846736908, (898.5134887695312, 266.939697265625, 89.14302062988281, 52.10617446899414))"
"('map', 0.9847559928894043, (1188.5181884765625, 325.5008544921875, 157.9672088623047, 187.36981201171875))","('dice', 0.9803580641746521, (649.0406494140625, 244.2473602294922, 64.114013671875, 114.65587615966797))","('face', 0.8473927974700928, (471.2408447265625, 461.84686279296875, 89.01348876953125, 102.35742950439453))","('key', 0.5170044898986816, (898.0758056640625, 267.26153564453125, 91.27926635742188, 52.959041595458984))"
