"('dice', 0.9340993165969849, (681.67333984375, 59.79385757446289, 90.31597137451172, 141.01193237304688))","('face', 0.928440272808075, (1122.3824462890625, 88.51484680175781, 94.13182067871094, 88.035888671875))","('face', 0.8718493580818176, (27.23832130432129, 371.348876953125, 51.441650390625, 190.07684326171875))"
"('face', 0.9244775176048279, (1123.77880859375, 88.0050277709961, 93.49053192138672, 87.44413757324219))","('dice', 0.9181204438209534, (681.98046875, 60.12184524536133, 92.51419830322266, 137.91363525390625))","('face', 0.8412423729896545, (27.33333969116211, 371.365234375, 51.517059326171875, 190.07684326171875))"
"('dice', 0.9069545865058899, (681.8405151367188, 60.7082405090332, 92.02986907958984, 136.3401641845703))","('face', 0.9063460826873779, (1124.8125, 88.88227844238281, 93.81063842773438, 88.8428726196289))","('face', 0.8327131867408752, (27.688920974731445, 370.84881591796875, 52.124324798583984, 190.26255798339844))"
"('dice', 0.912088930606842, (681.2452392578125, 60.33649444580078, 92.35623168945312, 137.5101776123047))","('face', 0.8943212628364563, (1125.8406982421875, 87.96166229248047, 92.0860595703125, 91.31683349609375))","('face', 0.8305286765098572, (27.398622512817383, 370.29998779296875, 51.19108200073242, 186.67367553710938))"
"('dice', 0.9291439056396484, (681.5601806640625, 60.79697799682617, 93.5818862915039, 136.87379455566406))","('face', 0.9059761166572571, (1125.8790283203125, 87.98527526855469, 92.76298522949219, 91.01358795166016))","('face', 0.8260788917541504, (27.836706161499023, 370.1080627441406, 50.594688415527344, 185.94589233398438))"
"('dice', 0.9331540465354919, (681.013916015625, 60.904083251953125, 95.69591522216797, 136.4400634765625))","('face', 0.8679977059364319, (1125.4814453125, 87.94988250732422, 93.63902282714844, 89.99991607666016))","('face', 0.8215447664260864, (28.269784927368164, 370.0048522949219, 50.81752014160156, 188.78192138671875))"
"('dice', 0.9360248446464539, (680.7018432617188, 60.71663284301758, 97.11988830566406, 135.9081268310547))","('face', 0.8648972511291504, (1126.4710693359375, 88.07263946533203, 92.05233764648438, 88.3561782836914))","('face', 0.8192388415336609, (28.010787963867188, 369.633544921875, 51.14111328125, 186.67367553710938))"
"('dice', 0.9369572997093201, (679.8880004882812, 60.839630126953125, 95.69591522216797, 135.9081268310547))","('face', 0.8369033932685852, (1134.9915771484375, 89.26763153076172, 81.38478088378906, 106.27259826660156))","('face', 0.8145169615745544, (27.17146110534668, 354.8753662109375, 52.84185791015625, 171.46875))"
"('dice', 0.9471688270568848, (679.0713500976562, 60.57514190673828, 96.8003158569336, 138.5548553466797))","('face', 0.8073264360427856, (26.693479537963867, 354.6725158691406, 52.379459381103516, 170.21746826171875))","('face', 0.8071533441543579, (1135.4857177734375, 88.99964141845703, 82.78759002685547, 104.10902404785156))"
"('dice', 0.9479434490203857, (679.474609375, 60.07981491088867, 95.07879638671875, 136.87379455566406))","('face', 0.8471317291259766, (1136.1943359375, 90.36631774902344, 81.92302703857422, 104.9639892578125))","('face', 0.821500301361084, (27.259113311767578, 354.3414611816406, 52.816062927246094, 173.23602294921875))"
